"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles","0",0,"T4529","25899_T4529","2015_00078_T4529",2015-07-02,"2015",1,42.31260556,2.148193045,1039.614,0,0,0,429801.453201898,4684836.69743945,0,0,0,0,1,"","Alive","yes",0,5,6,9,"< 2 weeks",47,12,0,0,1,0,0,0,0,"0",1.3,3,"NE"
"Planoles","0",0,"T4529","25900_T4529","2015_00079_T4529",2015-07-02,"2015",1,42.31260556,2.148193045,1039.614,0,0,0,429801.453201898,4684836.69743945,0,0,0,0,1,"","Alive","yes",0,5,6,9,"< 2 weeks",47,12,0,0,1,0,0,0,0,"0",1.3,3,"NE"
"Planoles","CLINE GAPS",0,"T0206","25901_T0206","2015_00080_T0206",2015-06-08,"2015",1,42.31260572,2.184441473,1039.669,0,0,0,432788.754371906,4684807.4523878,0,0,0,0,1,"","Alive","yes",0,1,0,1,"< 1 week",0,15,0,0,0,0,0,0,0,"0",0,0,"West"
"Planoles","0",0,"T4569","25902_T4569","2015_00081_T4569",2015-07-02,"2015",1,42.31262599,2.148174836,1036.852,0,0,0,429799.975268322,4684838.98092661,0,0,0,0,1,"","Alive","yes",0,2,0,1,"Just opened",49,15,0,0,0,0,0,0,0,"0",0.8,1.8,"North"
"Planoles","0",0,"T4569","25903_T4569","2015_00082_T4569",2015-07-02,"2015",1,42.31262599,2.148174836,1036.852,0,0,0,429799.975268322,4684838.98092661,0,0,0,0,1,"","Alive","yes",0,2,0,1,"Just opened",49,15,0,0,0,0,0,0,0,"0",0.8,1.8,"North"
"Planoles","0",0,"T4548","25904_T4548","2015_00083_T4548",2015-07-02,"2015",1,42.31277545,2.147867563,1040.348,0,0,0,429774.818483593,4684855.82988412,0,0,0,0,1,"","Alive","no",0,2,2,1,"< 2 weeks",81,17,0,0,0,0,0,0,0,"0",3.5,1,"North"
"Planoles","0",0,"T4548","25905_T4548","2015_00084_T4548",2015-07-02,"2015",1,42.31277545,2.147867563,1040.348,0,0,0,429774.818483593,4684855.82988412,0,0,0,0,1,"","Alive","no",0,2,2,1,"< 2 weeks",81,17,0,0,0,0,0,0,0,"0",3.5,1,"North"
"Planoles","0",0,"T4542","25906_T4542","2015_00085_T4542",2015-07-02,"2015",1,42.31278017,2.147850478,1040.195,0,0,0,429773.415727427,4684856.36807243,0,0,0,0,1,"","Alive","yes",0,7,1,6,"> 2 weeks ago",71,16,0,0,0,0,0,0,0,"0",1.6,2.8,"NE"
"Planoles","0",0,"T4542","25907_T4542","2015_00086_T4542",2015-07-02,"2015",1,42.31278017,2.147850478,1040.195,0,0,0,429773.415727427,4684856.36807243,0,0,0,0,1,"","Alive","yes",0,7,1,6,"> 2 weeks ago",71,16,0,0,0,0,0,0,0,"0",1.6,2.8,"NE"
"Planoles","0",0,"T4562","25908_T4562","2015_00087_T4562",2015-07-02,"2015",1,42.312792,2.147822984,1042.251,0,0,0,429771.163053306,4684857.70431714,0,0,0,0,1,"","Alive","yes",0,3,1,8,"> 2 weeks ago",61,14,0,0,2,0,0,0,0,"0",1,2.8,"NE"
